X,Y,name,elevation
-74.0626046079,4.5999664955,500 Universidad de los Andes campo deportivo,2723.4
-74.0619480521,4.6029508825,508 Teleférico de Monserrate,2707.5
-74.0753867588,4.5920966035,NN Calle 6A,2656
-74.0719489461,4.5926231919,NN,2702.6
-74.0735568728,4.5949692951,NN Calle 9,2655.4
-74.0712872947,4.6106081251,NN San Diego,2636.2
-74.0692372367,4.6093539881,NN Ruta Circular,2639.1
-74.0776931469,4.5979896742,NN Academia Colombia de Historia,
-74.0700056582,4.6104987804,655 Torre Colpatria,2620.8
-74.073266834,4.6057989635,653 Av cl 19,2627.7
-74.0645585395,4.6032364899,506 Quinta de Bolivar,2654.2
-74.0669928957,4.6036706725,502 Las Aguas,2642.3
-74.0673960089,4.5955489007,493 EAAB,2705.2
